country,year
AUS,2005
AUS,2006
AUS,2007
AUS,2008
AUS,2009
AUS,2012
AUS,2013
AUS,2014
AUS,2015
AUS,2016
AUS,2017
AUS,2018
AUS,2019
AUS,2020
AUS,2021
AUS,2022
AUT,1995
AUT,2000
AUT,2005
AUT,2010
AUT,2011
AUT,2012
AUT,2013
AUT,2014
AUT,2015
AUT,2016
AUT,2017
AUT,2018
AUT,2019
AUT,2020
AUT,2021
BEL,1995
BEL,2000
BEL,2005
BEL,2010
BEL,2011
BEL,2012
BEL,2013
BEL,2014
BEL,2015
BEL,2016
BEL,2019
BEL,2020
BEL,2021
BGR,2010
BRA,2010
BRA,2015
CAN,2010
CAN,2011
CAN,2012
CAN,2013
CAN,2014
CAN,2015
CAN,2016
CAN,2017
CAN,2018
CAN,2019
CAN,2020
CAN,2021
CHL,2008
CHL,2018
CHL,2019
CHL,2020
CHL,2021
CHL,2022
COL,2014
COL,2015
COL,2016
COL,2017
COL,2018
COL,2019
COL,2020
COL,2021
COL,2022
CYP,2010
CYP,2011
CYP,2012
CYP,2013
CYP,2014
CYP,2015
CYP,2016
CYP,2017
CYP,2018
CYP,2019
CYP,2020
CYP,2021
CZE,1995
CZE,1996
CZE,1997
CZE,1998
CZE,1999
CZE,2000
CZE,2001
CZE,2002
CZE,2003
CZE,2004
CZE,2005
CZE,2006
CZE,2007
CZE,2008
CZE,2009
CZE,2010
CZE,2011
CZE,2012
CZE,2013
CZE,2014
CZE,2015
CZE,2016
CZE,2017
CZE,2018
CZE,2019
CZE,2020
CZE,2021
CZE,2022
DEU,1995
DEU,1996
DEU,1997
DEU,1998
DEU,1999
DEU,2000
DEU,2001
DEU,2002
DEU,2003
DEU,2004
DEU,2005
DEU,2006
DEU,2007
DEU,2008
DEU,2009
DEU,2010
DEU,2011
DEU,2012
DEU,2013
DEU,2014
DEU,2015
DEU,2016
DEU,2017
DEU,2018
DEU,2019
DEU,2020
DNK,1995
DNK,2000
DNK,2005
DNK,2006
DNK,2007
DNK,2008
DNK,2009
DNK,2010
DNK,2011
DNK,2012
DNK,2013
DNK,2014
DNK,2015
DNK,2016
DNK,2017
DNK,2018
DNK,2019
DNK,2020
ESP,1995
ESP,2000
ESP,2005
ESP,2010
ESP,2015
ESP,2020
ESP,2021
EST,1997
EST,2000
EST,2005
EST,2010
EST,2011
EST,2012
EST,2013
EST,2014
EST,2015
EST,2016
EST,2017
EST,2018
EST,2020
EST,2021
FIN,1995
FIN,1996
FIN,1997
FIN,1998
FIN,1999
FIN,2000
FIN,2001
FIN,2002
FIN,2003
FIN,2004
FIN,2005
FIN,2006
FIN,2007
FIN,2008
FIN,2009
FIN,2010
FIN,2011
FIN,2012
FIN,2013
FIN,2014
FIN,2015
FIN,2016
FIN,2017
FIN,2018
FIN,2019
FIN,2020
FIN,2021
FIN,2022
FRA,1995
FRA,1997
FRA,1999
FRA,2000
FRA,2001
FRA,2002
FRA,2003
FRA,2004
FRA,2005
FRA,2006
FRA,2007
FRA,2008
FRA,2009
FRA,2010
FRA,2011
FRA,2012
FRA,2013
FRA,2014
FRA,2015
FRA,2016
FRA,2017
FRA,2018
FRA,2019
FRA,2020
FRA,2021
GBR,1995
GBR,1997
GBR,1998
GBR,1999
GBR,2000
GBR,2001
GBR,2002
GBR,2003
GBR,2004
GBR,2005
GBR,2006
GBR,2007
GBR,2008
GBR,2009
GBR,2010
GBR,2011
GBR,2012
GBR,2013
GBR,2014
GBR,2015
GBR,2016
GBR,2017
GBR,2018
GBR,2019
