year,country,sector,M,D,OUT,Mw,Dw,TLS
1995,AGO,B06,1396.227900,431.441300,3644.102900,35.786700,0.073800,2.702700
1995,AGO,B0609,1413.858600,434.868100,3932.018500,35.919100,0.075600,2.704700
1995,AGO,F,2207.944600,730.604600,6530.038600,15.228100,3.428800,6.806900
1995,AGO,F09,2190.313900,727.177800,6242.123000,15.095700,3.427000,6.804900
1995,ARE,B06,3902.552500,3377.673000,19579.456000,121.303700,64.968200,38.462100
1995,ARE,B0609,5177.928900,4473.731900,22368.764900,136.788600,74.292900,52.577400
1995,ARE,F,51209.692900,42598.151500,101037.333400,549.571400,357.250700,635.457600
1995,ARE,F09,49934.316500,41502.092600,98248.024500,534.086500,347.926000,621.342300
1995,ARG,B06,3441.002700,3192.295800,12990.662700,96.992700,3.334100,78.121000
1995,ARG,B0609,4058.234300,3768.564500,14389.167600,103.827500,3.745300,95.273400
1995,ARG,F,166529.509200,157504.235900,402884.911500,543.731900,102.177700,3431.570300
1995,ARG,F09,165912.277600,156927.967200,401486.406600,536.897100,101.766500,3414.417900
1995,AUS,B06,648.280900,581.258800,5608.486300,33.812000,18.002700,12.016200
1995,AUS,B0609,1840.708100,1675.519000,8657.285500,44.467600,24.103600,24.080800
1995,AUS,F,334601.691100,301642.299600,686775.048300,2619.029500,1704.911200,8198.065700
1995,AUS,F09,333409.263900,300548.039400,683726.249100,2608.373900,1698.810300,8186.001100
1995,AUT,B06,165.781800,105.317700,250.472700,0.421100,0.085600,5.884600
1995,AUT,B0609,185.305400,120.532000,294.883300,0.458100,0.092100,6.728500
1995,AUT,F,174880.108400,139112.937000,395838.976500,228.308100,58.607300,4193.819500
1995,AUT,F09,174860.584800,139097.722700,395794.565900,228.271100,58.600800,4192.975600
1995,BEL,B06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1995,BEL,B0609,3.999000,2.998500,42.100600,0.011800,0.003100,0.197900
1995,BEL,F,302262.041500,220614.163800,569688.050200,936.242300,275.707500,7785.297900
1995,BEL,F09,302258.042500,220611.165300,569645.949600,936.230500,275.704400,7785.100000
1995,BGD,B06,109.726200,89.279400,458.300200,15.930300,9.544200,1.053300
1995,BGD,B0609,120.093800,98.306600,485.149400,16.567000,9.932800,1.194300
1995,BGD,F,21422.184000,18894.074300,55893.571100,615.074900,404.270700,395.568100
1995,BGD,F09,21411.816400,18885.047100,55866.721900,614.438200,403.882100,395.427100
1995,BGR,B06,9.715300,8.209700,26.194700,0.393300,0.007500,0.294000
1995,BGR,B0609,9.836600,8.321400,26.368700,0.394600,0.007600,0.298100
1995,BGR,F,16547.999200,14667.900000,34508.798100,127.741400,20.684800,431.057800
1995,BGR,F09,16547.877900,14667.788300,34508.624100,127.740100,20.684700,431.053700
1995,BLR,B06,52.427900,40.099300,125.027900,2.353200,1.884300,2.197600
1995,BLR,B0609,69.239700,53.462000,165.833800,2.651700,2.126900,2.834100
1995,BLR,F,18925.016500,14388.115400,32494.808800,157.755600,132.903800,657.529800
1995,BLR,F09,18908.204700,14374.752700,32454.002900,157.457100,132.661200,656.893300
1995,BRA,B06,8220.022400,7374.767600,14337.933400,267.059100,7.835000,832.187100
1995,BRA,B0609,9031.550600,8146.441700,15884.955200,271.352400,8.115800,902.355900
1995,BRA,F,551431.095000,515382.179100,1244614.373100,2166.432200,486.377500,32883.581300
1995,BRA,F09,550619.566800,514610.505000,1243067.351300,2162.138900,486.096700,32813.412500
1995,BRN,B06,833.472700,667.876600,2772.930400,35.961200,34.978400,-0.432100
1995,BRN,B0609,934.060100,758.504700,3025.546100,37.254800,36.226000,-0.479400
1995,BRN,F,3590.867100,3159.709800,6957.706800,45.176000,42.997700,-4.157400
1995,BRN,F09,3490.279700,3069.081700,6705.091100,43.882400,41.750100,-4.110100
1995,CAN,B06,6549.849800,5413.440400,17345.975700,4.915100,3.680000,29.707500
1995,CAN,B0609,8800.748400,7202.623800,21581.402400,7.682500,5.384600,64.660200
1995,CAN,F,462335.912900,368665.262800,1023020.328900,1762.268000,659.942300,9480.265500
1995,CAN,F09,460085.014300,366876.079400,1018784.902200,1759.500600,658.237700,9445.312800
1995,CHE,B06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1995,CHE,B0609,90.838200,79.538900,175.783900,1.166000,0.650800,0.507400
1995,CHE,F,350466.520500,297077.547900,694549.454300,5804.858600,3420.924700,1739.073800
1995,CHE,F09,350375.682300,296998.009000,694373.670400,5803.692600,3420.273900,1738.566400
1995,CHL,B06,53.672500,44.437600,120.579900,1.311600,0.005300,2.979700
1995,CHL,B0609,119.979500,103.792700,371.133000,1.772900,0.055200,6.063500
1995,CHL,F,57316.629100,49219.246300,125842.213600,741.832900,311.186800,2604.564500
1995,CHL,F09,57250.322100,49159.891200,125591.660500,741.371600,311.136900,2601.480700
1995,CHN,B06,6574.307100,6026.681500,16239.342000,54.835700,39.556600,177.438700
1995,CHN,B0609,7436.335400,6849.768700,17740.403100,56.685900,40.938700,198.726500
1995,CHN,F,1121927.072700,1046400.775400,1823449.478200,7447.325700,5493.934400,20154.485100
1995,CHN,F09,1121065.044400,1045577.688200,1821948.417100,7445.475500,5492.552300,20133.197300
1995,CIV,B06,12.949800,9.112000,20.335400,0.475000,0.001200,0.275400
1995,CIV,B0609,17.639100,12.790000,26.849400,0.525000,0.001800,0.363100
1995,CIV,F,8332.091100,6794.970400,18803.098300,51.947600,7.665000,240.171800
1995,CIV,F09,8327.401800,6791.292400,18796.584300,51.897600,7.664400,240.084100
