parameter,Canonical,Canonical_OilExempt,Model_Benchmark.csv,Model_No_g.csv,Model_SameTheta.csv,Model_Brazil.csv,Model_Identical.csv
N_GL,25,25,25.0,25.0,25.0,25.0,25.0
Nz,21,21,21.0,21.0,21.0,21.0,21.0
Nb,31,31,200,200,200,200,200
GR_z_Width,3,3,5.0,5.0,5.0,5.0,5.0
cnt_max,300,300,300.0,300.0,300.0,300.0,300.0
b_y_high,0.0875,0.0875,0.5,1.5,0.5,1.0,1.0
gamma,1,1,0.05,0.05,0.05,0.05,0.05
phi,0.282,0.282,0.25,0.25,0.25,0.25,0.25
Quarterly,1,1,0.0,0.0,0.0,0.0,0.0
WithDiscoveries,1,1,1.0,1.0,1.0,1.0,1.0
Twait,5,5,5.0,5.0,5.0,5.0,5.0
yoil_GDP_target_L,0.06,0.06,0.06,0.06,0.06,0.06,0.06
yoil_GDP_target_H,0.1014,0.1014,0.1014,0.1014,0.1014,0.1014,0.1014
IdenticalTechnology,0,0,0.0,0.0,0.0,0.0,1.0
IsEndowmentCase,1,1,0.0,0.0,0.0,0.0,0.0
OilExempt,0,1,0.0,0.0,0.0,0.0,0.0
knk,0.969,0.969,0.0,0.0,0.0,0.0,0.0
A,0,0,0.06928955078125,0.07620849609375001,0.06928955078125,0.06928955078125,0.06928955078125
beta,0.953,0.953,0.92186279296875,0.91851806640625,0.92186279296875,0.92186279296875,0.92186279296875
theta_f,0,0,0.5524365234375,0.6049072265625,0.5524365234375,0.5524365234375,0.5524365234375
rho_z,0.945,0.945,0.95,0.95,0.95,0.95,0.95
sigma_z,0.025,0.025,0.02085205078125,0.02162841796875,0.02085205078125,0.02085205078125,0.02085205078125
With_g,0,0,1.0,0.0,1.0,1.0,1.0
tau,0,0,0.159,0.159,0.159,0.159,0.159
PrivateOilField,0,0,0.0,0.0,0.0,0.0,0.0
theta_o,0,0,0.3633720930232558,0.3633720930232558,0.5524365234375,0.5524365234375,0.3633720930232558
kappa,0,0,0.6,0.6,0.6,0.6,0.6
alpha_Mo,0.3,0.3,0.3,0.3,0.3,0.6096229993,0.3
lambda_o,0.6562021165,0.6562021165,0.6562021165,0.6562021165,0.6562021165,0.5549196275,0.6562021165
lambda_f,0.62,0.62,0.62,0.62,0.62,0.62,0.62
mu,2.9,2.9,2.9,2.9,2.9,2.9,2.9
mu_o,2.9,2.9,2.9,2.9,2.9,2.9,2.9
nu,2.44,2.44,2.44,2.44,2.44,2.44,2.44
nu_o,2.44,2.44,2.44,2.44,2.44,2.44,2.44
alpha_Mf,0.46,0.46,0.46,0.46,0.46,0.4939238091,0.46
