ifscode,wbcode,year,discoveryyear,disctype,urr,urr_oil,urr_gas,urr_conden,onshrshare,lnurt_h,discovery,discnopast3,discnonseq,sizecom10,sizecom5,discountrate,sizerisk,sizerealistic,sizerealistic_oilcond,sizerealistic_gas,sizeonshore,sizeoffshore,sizerealtype,lngdplcu,lnclcu,embi,in_embi_dumm,ln_rer_def,ln_rer_cpi,oil_rent,fuel_exp,oil_price,lngovlcu,inv_gdp,ca_gdp,debt_gdp,tb_gdp,inv_n,inv_m,inv_c,inv_o
111,USA,1960,,,0,0,0,0,,0,0,0,0,,,0.05,,,,,,,,804.834,,,0,,,,,1.6300001,,14.10703085,,,,65500000000,10800000000,4500000000,3900000000
111,USA,1961,,,0,0,0,0,,0,0,0,0,,,0.05,,,,,,,,807.1362,,,0,,,,,1.5700000,,13.96374868,,,,65900000000,10600000000,4700000000,4100000000
111,USA,1962,1962,2,625,625,0,0,0,6.437752,1,0,1,,,0.05,,,,,,,,813,,,0,,,,3.751838225,1.5200000,,14.09637791,,,,72000000000,11300000000,5000000000,4200000000
111,USA,1963,1963,1,500,0,3,0,1,6.214608,1,0,0,,,0.05,,,,,,,,817.2318,,,0,,,,4.125064152,1.5000000,,14.4958477,,,,78600000000,12200000000,5400000000,4000000000
111,USA,1964,,,0,0,0,0,,0,0,0,0,,,0.05,,,,,,,,822.871,,,0,,,,3.494185054,1.4500000,,14.8130888,,,,85500000000,14400000000,5700000000,4700000000
111,USA,1965,1965,1,670,550,0.72,0,1,6.507277,1,0,1,,,0.05,,,,,,,,829.0729,,,0,,,,3.505137753,1.4200000,,15.11499315,,,,93800000000,18200000000,6400000000,5000000000
111,USA,1966,,,0,0,0,0,,0,0,0,0,,,0.05,,,,,,,,835.4322,,,0,,,,3.269339217,1.3600000,,14.77225441,,,,99200000000,22800000000,7000000000,5300000000
111,USA,1967,1967,1,19606.333,15273,26,0,1,9.883608,1,0,1,,,0.05,,,,,,,,837.9079,,,0,,,,3.545662547,1.3300000,,14.18022251,,,,1.01E+11,22400000000,7500000000,5000000000
111,USA,1968,,,0,0,0,0,,0,0,0,0,,,0.05,,,,,,,,842.566,,,0,,,,3.092161934,1.3200000,,14.27492797,,,,1.15E+11,22900000000,7300000000,5100000000
111,USA,1969,1969,1,529,529,0,0,1,6.270988,1,0,1,,,0.05,,,,,,,,845.5595,,,0,,,,3.016821992,1.2700000,,14.2354432,,,,1.26E+11,25000000000,7700000000,5700000000
111,USA,1970,,,0,0,0,0,,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,845.7448,,,0,,,0.378599256,3.744205093,1.2100000,2785.870543,,0.244106278,,-0.056833904,2.72E+11,51304000000,15581300000,10769000000
111,USA,1971,1971,2,540,290,1.5,0,0,6.291569,1,0,1,0.0244013,0.0450728,0.05,0.0450728,0.0617662,0.035707,0.0312782,0,0.063002,0.063002,849.0334,,,0,,,0.405338173,3.442934125,1.6900000,2785.955322,,-0.084131004,,-0.432673735,3.14E+11,49878000000,15968200000,11197000000
111,USA,1972,,,0,0,0,0,,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,854.3197,,,0,,,0.398848429,3.169712628,1.8200000,2786.317081,17.37362826,-0.411223429,,-0.791175114,3.60E+11,55450000000,17301900000,12119000000
