parameter,Mexico,domestic field,oil embargo,sell field,"sell field, risky disc"
N_GLz,51,51,51,51,51
Twait,6,6,6,6,6
Nz,21,21,21,21,21
Nb,41,41,41,41,41
blow,0,0,0,0,0
bhigh,0.45,0.45,0.45,0.45,0.45
beta,0.841660156,0.841660156,0.841660156,0.841660156,0.841660156
knk,0.769433594,0.769433594,0.769433594,0.769433594,0.769433594
d0,0.45,0.45,0.45,0.45,0.45
d1,6,6,6,6,6
cnt_max,200,200,200,200,200
nL,0.03734,0.03734,0.03734,0.03734,0.03734
nH,0.0631046,0.0631046,0.0631046,0.0631046,0.0631046
rho_z,0.7738,0.7738,0.7738,0.7738,0.7738
sigma_z,0.034,0.034,0.034,0.034,0.034
gamma,0.14,0.14,0.14,0.14,0.14
tau,0.15,0.15,0.15,0.15,0.15
psi,0.5,0.5,0.5,0.5,0.5
DomesticField,0,1,0,0,0
OilEmbargo,0,0,1,0,0
sell field,0,0,0,1,1
earmarked sell,0,0,0,0,0
spread to discount,0,0,0,0,0.029
